Dataset	Accuracy	Precision	Recall	F1-score	Classification name
Combined	0.6959876543209876	0.5480312144193421	0.5132013213009006	0.5225551056465827	RandomForestClassifier
Combined	0.683641975308642	0.5056125682619592	0.3851076972220029	0.4149566503048894	SVC
Combined	0.6944444444444444	0.5487994305175484	0.448463100584419	0.4810543450730204	VotingClassifier
Combined	0.6651234567901234	0.5507139126003081	0.3250738534749754	0.358718570581683	StackingClassifier
JUnit	0.5625	0.4401515151515151	0.3997023809523809	0.3995628554452084	RandomForestClassifier
JUnit	0.4791666666666667	0.3035714285714285	0.2165922619047619	0.2081912475134981	SVC
JUnit	0.5416666666666666	0.4497679045092838	0.3724702380952381	0.3685185185185185	VotingClassifier
JUnit	0.5	0.2375672043010752	0.2255208333333333	0.210586989842309	StackingClassifier
Subset_of_files	0.7348484848484849	0.5564277788623377	0.5870342511838114	0.5593227450563353	RandomForestClassifier
Subset_of_files	0.7070707070707071	0.5455542140426004	0.3986949511876198	0.436292368114778	SVC
Subset_of_files	0.7348484848484849	0.6031167964745223	0.5284743116121414	0.5458515004184549	VotingClassifier
Subset_of_files	0.6994949494949495	0.5276006821461366	0.3531782000990212	0.3812893717369933	StackingClassifier
Project_Lombok	0.7261904761904762	0.2570257611241218	0.2540849673202614	0.2536176108374384	RandomForestClassifier
Project_Lombok	0.6904761904761905	0.3255597014925372	0.2360410830999066	0.2277434976177458	SVC
Project_Lombok	0.7023809523809523	0.2569576217583807	0.2321895424836601	0.2293740781710914	VotingClassifier
Project_Lombok	0.6904761904761905	0.3229558270676692	0.2427637721755368	0.2293752283522104	StackingClassifier
Log4J	0.6949152542372882	0.5949131368794657	0.6151151369638764	0.5793275089682635	RandomForestClassifier
Log4J	0.6610169491525424	0.7120181405895691	0.4844719706064244	0.5283539299281428	SVC
Log4J	0.7033898305084746	0.5874542124542125	0.5583330301817697	0.5584312512883941	VotingClassifier
Log4J	0.652542372881356	0.7044683626875408	0.4828713303503219	0.5222671048758005	StackingClassifier
Apache_Commons_IO	0.7605633802816901	0.6457142857142857	0.6127845147199986	0.6064358918477912	RandomForestClassifier
Apache_Commons_IO	0.704225352112676	0.6273504273504273	0.4352638855864661	0.4744821032625911	SVC
Apache_Commons_IO	0.7605633802816901	0.6478922428922429	0.5907119142603013	0.5933371161174801	VotingClassifier
Apache_Commons_IO	0.7253521126760564	0.7315217391304347	0.5395794915149754	0.578765791568306	StackingClassifier
Apache_Commons_Lang_and_Commons_Lang	0.6962616822429907	0.6898334707310542	0.6259277264624857	0.6396728939509688	RandomForestClassifier
Apache_Commons_Lang_and_Commons_Lang	0.6635514018691588	0.6336128906634485	0.4467601916799777	0.4926366183811669	SVC
Apache_Commons_Lang_and_Commons_Lang	0.7102803738317757	0.7230998017184401	0.5933467601916799	0.6203120199317712	VotingClassifier
Apache_Commons_Lang_and_Commons_Lang	0.6542056074766355	0.6198863636363636	0.3895044794777415	0.4308989243219981	StackingClassifier
Appcompat	0.6578947368421053	0.5982142857142857	0.5020833333333333	0.5064171122994652	RandomForestClassifier
Appcompat	0.6842105263157895	0.6491013071895425	0.5208333333333333	0.5450297619047619	SVC
Appcompat	0.6842105263157895	0.6041666666666667	0.515625	0.5203598484848484	VotingClassifier
Appcompat	0.6842105263157895	0.6023351648351649	0.5125	0.5168067226890756	StackingClassifier
