Year1;Year;Date; ;Version;RELEASE;Changes;By; ;Type;General;General Category;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;;;;;;;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Regression in FileUtils.touch() - no longer creates parent directories. Fixes IO-791. Thanks to Chad Wilson, Gary Gregory.;ggregory;;;Fix regression;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;ByteArrayOrigin should be able convert a byte[] to a ByteArrayInputStream. Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;AbstractOriginSupplier.checkOrigin() now throws IllegalStateException instead of NullPointerException. Thanks to Gary Gregory.;ggregory;;;Fix throwing wrong exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;FileAlreadyExistsException in PathUtils.createParentDirectories(Path, LinkOption, FileAttribute...). Fixes IO-796. Thanks to Giacomo Boccardo, Gary Gregory.;ggregory;exception;FileAlreadyExistsException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Only read the relevant portion of a file in AbstractOrigin.FileOrigin.getByteArray(long, int) Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Only read the relevant portion of a file in AbstractOrigin.PathOrigin.getByteArray(long, int) Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;DeferredFileOutputStream throws exception when system temp dir is a symlink. Fixes IO-798. Thanks to Shai Shapira, Gary Gregory.;ggregory;exception;FileAlreadyExistsException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;ReaderInputStream.Builder.setCharsetEncoder(null) should reset to a default object, not throw an NPE. Thanks to Gary Gregory.;ggregory;exception;NullPointerException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;ReaderInputStream.Builder.setCharset(null) should reset to a default object, not throw an NPE. Thanks to Gary Gregory.;ggregory;exception;NullPointerException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Add CharSequenceInputStream.Builder. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Add ChunkedOutputStream.Builder. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Add AbstractStreamBuilder.setOpenOptions(OpenOption...). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+18 years;2023;03.06.2023;2.13.;2.13.0;MINOR;Add some missing conversions to AbstractOrigin subclasses. Thanks to Gary Gregory.;ggregory;;Add missing conversions to subclasses;Add functionality;Add support for a new feature;;;;;;;;;;;;;;;;;;;
