Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2021,26/02/2021,3.12.,3.12.0,MINOR,,,,,,,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Correct implementation of RandomUtils.nextLong(long, long). Fixes LANG-1592. Thanks to Huang Pingcai, Alex Herbert.",aherbert,,,Fix wrong implementation,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,Restore handling of collections for non-JSON ToStringStyle #610. Fixes LANG-1600. Thanks to Michael F.,ggregory,,"Restore previous behaviour because of problems, introduced by previous version ",Fix regression,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,ContextedException Javadoc add missing semicolon #581. Thanks to iamchao1129.,ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Resolve JUnit pioneer transitive dependencies using JUnit BOM. Fixes LANG-1608. Thanks to Edgar Asatryan.,aherbert,pom.xml,,Fix dependency,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"NumberUtilsTest - incorrect types in min/max tests #634. Thanks to HubertWo, Gary Gregory.",aherbert,Test,,Fix incorrect variable types,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,Improve StringUtils.stripAccents conversion of remaining accents. Fixes LANG-1579. Thanks to XenoAmess.,aherbert,,In-place replacement of character instead of performing one additional operation,Code refinement,Performance improvement,Perfective,Run-time
2021,26/02/2021,3.12.,3.12.0,MINOR,StringUtils.countMatches - clarify Javadoc. Fixes LANG-1606. Thanks to Rustem Galiev.,sebb,JavaDoc,Clarify JavaDoc,Clarify documentation,Documentation,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Remove redundant argument from substring call. Fixes LANG-1591. Thanks to bhawna94.,kinow,,Reduce method calls,Code refinement,Performance improvement,Perfective,Run-time
2021,26/02/2021,3.12.,3.12.0,MINOR,"BigDecimal is created when you pass it the min and max values, #642. Fixes LANG-1613. Thanks to Arturo Bernal, Gary Gregory.",ggregory,,,Fix incorrect variable types,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,"ArrayUtils.contains() and indexOf() fail to handle Double.NaN #647. Fixes LANG-1541. Thanks to Arturo Bernal, Gary Gregory.",ggregory,,Handle NaN values correctly,Fix wrong implementation,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,"ArrayUtils contains() and indexOf() fail to handle Float.NaN # #561. Fixes LANG-1615. Thanks to Arturo Bernal, Gary Gregory.",ggregory,,Handle NaN values correctly,Fix wrong implementation,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Fix potential NPE in TypeUtils.isAssignable(Type, ParameterizedType, Map, Type>). Thanks to Gary Gregory.",ggregory,exception:NPE,NullPointerException,Handle exception,Bug fix,Preventive ,
2021,26/02/2021,3.12.,3.12.0,MINOR,"TypeUtils.isAssignable returns wrong result for GenericArrayType and ParameterizedType, #643. Fixes LANG-1420. Thanks to Gordon Fraser, Rostislav Krasny, Arturo Bernal, Gary Gregory.",ggregory,,,Fix returning wrong output,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,"testGetAllFields and testGetFieldsWithAnnotation sometimes fail. Fixes LANG-1612. Thanks to XinT, Gary Gregory.",ggregory,Test,,Fix failing tests,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,Fix Javadoc for SystemUtils.isJavaVersionAtMost() #638. Thanks to John R. D'Orazio.,ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Fix StringUtils.unwrap throws StringIndexOutOfBoundsException #636. Fixes LANG-1610. Thanks to Tony Liang.,ggregory,exception,StringIndexOutOfBoundsException,Handle exception,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,Fix formatting of isAnyBlank() and isAnyEmpty(). #513. Thanks to Isira Seneviratne.,ggregory,,Fix space formatting ,Code formatting ,Maintainability improvement,,
2021,26/02/2021,3.12.,3.12.0,MINOR,TypeUtils. containsTypeVariables does not support GenericArrayType #661. Fixes LANG-1618. Thanks to Arturo Bernal.,ggregory,,Add support for GenericArrayType,Add functionality,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Javadoc of some methods incorrectly refers to another method, #667, #668. #670. Fixes LANG-1622. Thanks to Kanak Sony, anomen-s.",ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Refine StringUtils.lastIndexOfIgnoreCase #664. Fixes LANG-1620. Thanks to Arturo Bernal.,ggregory,,Reduce method calls,Code refinement,Performance improvement,Perfective,
