Date;Aggregated Version;Version;RELEASE;Changes;Type;General;General Category
29.05.2024;1.7;1.7.0;MINOR;;;;
29.05.2024;1.7;1.7.0;MINOR;AppCompatDialog now correctly sets the LifecycleOwner, SavedStateRegistryOwner, and OnBackPressedDispatcherOwner on the dialog's decor view via the ViewTree APIs, fixing issues when hosting a ComposeView within an AppCompatDialog.;Important changes since 1.6.0;Fix wrong implementation;Bug fix
29.05.2024;1.7;1.7.0;MINOR;AppCompatActivity now sets the ViewTreeOnBackPressedDispatcherOwner so that it is possible to retrieve the dispatcher from the view.;Important changes since 1.6.1;Change Implementation;Code redesign
29.05.2024;1.7;1.7.0;MINOR;Significantly improved the performance of SupportMenuInflater.;Important changes since 1.6.2;Improve performance;Performance improvement
29.05.2024;1.7;1.7.0;MINOR;Locale.getDefault() now returns the system locale after a cold start.;Important changes since 1.6.3;Change Implementation;Code redesign
29.05.2024;1.7;1.7.0;MINOR;LinearLayoutCompat now preserves margin layout params.;Important changes since 1.6.4;Change Implementation;Code redesign
29.05.2024;1.7;1.7.0;MINOR;AppCompat now depends on Activity 1.7.0.;"Dependency Updates
";Update version numbers;Update dependency
29.05.2024;1.7;1.7.0;MINOR;AppCompat now depends on Fragment version 1.5.4.;"Dependency Updates
";Update version numbers;Update dependency
26.06.2023;1.7;1.7.0-alpha03;PRE-RELEASE;;;;
;;;;"Support for getting per-app locales in non-Activity contexts (I58e753). Four new APIs have been added for this feature:
";New Features;Add functionality;Add support for a new feature
26.06.2023;1.7;1.7.0-alpha03;PRE-RELEASE;LocaleManagerCompat.getApplicationLocales(): for developers to get per-app locales out of activity scope.;New Features;Add method;Add support for a new feature
;;;;ContextCompat.getString(): return localized strings based on per-app locales.;New Features;Add method;Add support for a new feature
26.06.2023;1.7;1.7.0-alpha03;PRE-RELEASE;ContextCompat.getContextForLanguage(): the context returned by this method will respect the per-app locales.;New Features;Add method;Add support for a new feature
;;;;ConfigurationCompat.setLocales(): for above APIs, to set the configuration's locale.;New Features;Add method;Add support for a new feature
26.06.2023;1.7;1.7.0-alpha03;PRE-RELEASE;Added setLineHeight(unit, lineHeight) to TextView compat classes (Ia9fa9);Other API Changes;Add method;Add support for a new feature
;;;;Added setLineHeight(unit, lineHeight) to TextView compat classes (Ib2ee1);Other API Changes;Add method;Add support for a new feature
26.06.2023;1.7;1.7.0-alpha03;PRE-RELEASE;Added setLineHeight(unit, lineHeight) to TextView compat classes (I15716);Other API Changes;Add method;Add support for a new feature
;;;;AppCompatDialog now correctly sets the LifecycleOwner, SavedStateRegistryOwner, and OnBackPressedDispatcherOwner on the dialog's decor view via the ViewTree APIs, fixing issues when hosting a ComposeView within an AppCompatDialog. AppCompat now depends on Activity 1.7.0. (Ib28ab, b/261314581);Bug Fixes;Fix wrong implementation;Bug fix
26.06.2023;1.7;1.7.0-alpha03;PRE-RELEASE;Significantly improve the performance of SupportMenuInflater (I0b087);Bug Fixes;Improve performance;Performance improvement
08.02.2023; 1.7.0;1.7.0-alpha02;PRE-RELEASE;;;;
08.02.2023; 1.7.0;1.7.0-alpha02;PRE-RELEASE;Fixed a memory leak in AppCompatDelegate.getLocaleManagerForApplication() (44b57fd);Bug Fixes;Fix leak of memory;Memory improvement
08.02.2023; 1.7.0;1.7.0-alpha02;PRE-RELEASE;AppCompat now depends on Fragment version 1.5.4 (I54dcd);Bug Fixes;Update version numbers;Update dependency
05.10.2022;1.7.0;1.7.0-alpha01;PRE-RELEASE;;;;
