Year1,Year,Date,,Version,RELEASE,Changes,By,,Type,General,General Category
+15 years,2021,13/02/2021,4.13.,4.13.2,PATCH,,,,,,
+15 years,2021,13/02/2021,4.13.,4.13.2,PATCH,Pull request #1687: Mark ThreadGroups created by FailOnTimeout as daemon groups,,Rules,,Fix regression,Bug fix
+15 years,2021,13/02/2021,4.13.,4.13.2,PATCH,Pull request $1691: Only create ThreadGroups if FailOnTimeout.lookForStuckThread is true.,,Rules,,Fix regression,Bug fix
+15 years,2021,13/02/2021,4.13.,4.13.2,PATCH,Pull request #1654: Fix for issue #1192: NotSerializableException with AssumptionViolatedException,,Exceptions,,Fix serialization,Bug fix
+14 years,2020,11/10/2020,4.13.,4.13.1,PATCH,,,,,,
+14 years,2020,11/10/2020,4.13.,4.13.1,PATCH,Security fix: TemporaryFolder now limits access to temporary folders on Java 1.7 or later,,"Rules, ",A local information disclosure vulnerability in TemporaryFolder has been fixed. See the published security advisory for details.,Fix local information disclosure vulnerability,Security improvement
+14 years,2020,11/10/2020,4.13.,4.13.1,PATCH,Pull request #1669: Make FrameworkField constructor public,,Test Runners,Make FrameworkField constructor public,Change access modifier,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,,,,,,
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1054: Improved error message for assertArrayEquals when multi-dimensional arrays have different lengths,,Assertions,Improve error message ,Code refactoring,Maintainability improvement
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1154 and #1504 Add assertThrows,,Assertions,,Add functionality,Add support for a new feature
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,-,,,Rename method,Code refactoring,Maintainability improvement
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1300: Show contents of actual array when array lengths differ,,Assertions,,Change implementation,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1315: assertArrayEquals shouldn't throw an NPE when test suites are compiled/run across versions of junit,,Assertions,NullPointerException,Handle exception,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1150: Deprecate Assert#assertThat,,Assertions,,Deprecate method,Deprecate functionality
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1037: BlockJUnit4ClassRunner#createTest now accepts FrameworkMethod,,Test Runners,,Change implementation,Code redesign
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1082: Ensure exceptions from BlockJUnit4ClassRunner.methodBlock() don't result in unrooted tests,,Test Runners,,Fix regression,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1286: Provide better feedback to the user in case of invalid test classes,,Test Runners,Improve exception message ,Code refactoring,Maintainability improvement
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1252: Restore ability use ParentRunner lost in separate class loader,,Test Runners,NullPointerException,Fix regression,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1377: Description produced by Request.classes() shouldn't be null,,Test Runners,,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Issue #1290: Tests expecting AssumptionViolatedException are now correctly marked as passed,,Test Runners,Tests expecting AssumptionViolatedException are now correctly marked as passed,Fix wrong implementation,Bug fix
