Date;Aggregated Version;Version;RELEASE;Changes;General;General Category
28.12.2021;2.3;2.3.2;PATCH;;;
28.12.2021;2.3;2.3.2;PATCH;JDBC Appender should use JNDI Manager and JNDI access should be limited. Backport fix for CVE-2021-44832.;Fix wrong implementation;Bug fix
28.12.2021;2.3;2.3.2;PATCH;Add support for specifying an SSL configuration for SmtpAppender. Backport fix for CVE-2020-9488 to allow SSL/TLS hostname verification. Fixes LOG4J2-2819.;Add support for SSL configuration;Add support for a new feature
20.12.2021;2.3;2.3.1;PATCH;;;
20.12.2021;2.3;2.3.1;PATCH;Limit JNDI to the java protocol only. JNDI will remain disabled by default. Rename JNDI enablement property from 'log4j2.enableJndi' to 'log4j2.enableJndiLookup', 'log4j2.enableJndiJms', and 'log4j2.enableJndiContextSelector'. Fixes LOG4J2-3242.;Code change;Code redesign
20.12.2021;2.3;2.3.1;PATCH;Fix string substitution recursion. Fixes LOG4J2-3230.;Fix wrong implementation;Bug fix
20.12.2021;2.3;2.3.1;PATCH;Pattern layout no longer enables lookups within message text. Fixes LOG4J2-3198.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;;;
09.05.2015;2.3;2.3;MINOR;Incorrectly defined compressionType parameter to GelfLayout. Fixes LOG4J2-1009. Thanks to Mikael Ståldal.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;org.apache.logging.log4j.core.config.plugins.util.ResolverUtil.extractPath(URL) incorrectly converts '+' characters to spaces. Fixes LOG4J2-1008. Thanks to Ralph Goers, Gary Gregory.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;org.apache.logging.log4j.core.util#fileFromUri(URI uri) incorrectly converts '+' characters to spaces. Fixes LOG4J2-1007. Thanks to Ralph Goers, Gary Gregory.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;JUL Logger.throwing is mis-mapped to ERROR when it should be TRACE. Fixes LOG4J2-1003. Thanks to Dan Armbrust.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;System.out no longer works after the Console appender and JANSI are initialized. Fixes LOG4J2-965. Thanks to Khotyn Huang.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;Make org.apache.logging.log4j.core.Logger#updateConfiguration protected. Fixes LOG4J2-998. Thanks to Mariano Gonzalez.;Change visibility modifier;Code redesign
09.05.2015;2.3;2.3;MINOR;Move UTF-8 constant from Charsets to Constants class. Remove Charsets class. Fixes LOG4J2-995.;Field transfer from one space to another;Code redesign
09.05.2015;2.3;2.3;MINOR;Deadlock would occur if appender thread creates a new Logger during reconfiguration. Fixes LOG4J2-993.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;Async root logger config should default includeLocation to false. Fixes LOG4J2-991. Thanks to Ryan Rupp.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;AbstractFilter should not implement equals() and hashCode(). Fixes LOG4J2-985. Thanks to Sean Dawson.;Change implementation;Code redesign
09.05.2015;2.3;2.3;MINOR;PatternLayout %highlight to support noConsoleNoAnsi like %style. Fixes LOG4J2-984. Thanks to Jonas Höpfner.;Add functionality;Add support for a new feature
09.05.2015;2.3;2.3;MINOR;Truncate from the end of text format modifier. Fixes LOG4J2-926. Thanks to David Ohana.;Add functionality;Add support for a new feature
09.05.2015;2.3;2.3;MINOR;Numerical overflow in BurstFilter not handled correctly. Fixes LOG4J2-980. Thanks to Mikhail Mazurskiy.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;Incorrect unlock in ProviderUtil. Fixes LOG4J2-981. Thanks to Mikhail Mazurskiy.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;KeyStoreConfiguration.createKeyStoreConfiguration() ignores keyManagerFactoryAlgorithm. Fixes LOG4J2-966. Thanks to Gary Gregory.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;Using monitorInterval with YAML config file format causes JSONParseException. Fixes LOG4J2-976. Thanks to Matt Quinn.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;StringFormattedMessage serialization is incorrect. Fixes LOG4J2-964. Thanks to Jonne Jyrylä.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;A new StatusLoggerAdmin listener is added to StatusLogger every time the log is reconfigured. Fixes LOG4J2-947. Thanks to Stefan Wehner.;Add a StatusLoggerAdmin listener;Add support for a new feature
09.05.2015;2.3;2.3;MINOR;SyslogLayout contains extra space. Fixes LOG4J2-968. Thanks to Paul D Johe.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;log4j2.component.properties not read for all properties. Fixes LOG4J2-967. Thanks to Stefan Wehner.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;Another bad priority in Syslog messages. Fixes LOG4J2-971. Thanks to Paul D Johe.;Fix wrong implementation;Bug fix
09.05.2015;2.3;2.3;MINOR;org.apache.logging.log4j.core.net.ssl.TlsSyslogInputStreamReader does not need to create temp Integer objects. Fixes LOG4J2-972. Thanks to Gary Gregory.;Remove unnecessary temp object;Code redesign
09.05.2015;2.3;2.3;MINOR;Typo in EventLogger documentation. Fixes LOG4J2-974. Thanks to Daniel Galán y Martins.;Fix documentation;Documentation
09.05.2015;2.3;2.3;MINOR;Update LMAX Disruptor from 3.3.0 to 3.3.2. Fixes LOG4J2-988. Thanks to Gary Gregory.;Update version;Update dependency
09.05.2015;2.3;2.3;MINOR;Migrate tests from Logback 1.1.2 to 1.1.3. Fixes LOG4J2-987. Thanks to Gary Gregory.;Update version;Update dependency
09.05.2015;2.3;2.3;MINOR;Update tests to use ActiveMQ from 5.10 to 5.11.1. Fixes LOG4J2-988. Thanks to Gary Gregory.;Update version;Update dependency
09.05.2015;2.3;2.3;MINOR;Update Jackson from 2.5.1 to 2.5.3. Fixes LOG4J2-1004.;Update version;Update dependency
09.05.2015;2.3;2.3;MINOR;Update Slf4j from 1.7.7 to 1.7.12. Fixes LOG4J2-1005.;Update version;Update dependency
22.02.2015;2.2;2.2;MINOR;;;
22.02.2015;2.2;2.2;MINOR;(JMX) To avoid memory leaks when web applications are restarted, JMX notifications are sent from the caller thread in web applications. For non-web applications notifications are sent from a background thread as before. Fixes LOG4J2-938. Thanks to Mauro Molinari.;Avoid memory leaks when web applications are restarted;Memory improvement
22.02.2015;2.2;2.2;MINOR;Missing toUpperCase(Locale.ENGLISH). Fixes LOG4J2-957. Thanks to fatih guleryuz.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;"Manual refers to Route ""AppenderRef"" attribute, should be ""ref"". Fixes LOG4J2-956. Thanks to David Kellerman.";Fix documentation;Documentation
22.02.2015;2.2;2.2;MINOR;Documentation: clarify system properties to control status logger, improve troubleshooting FAQ entry. Fixes LOG4J2-955.;Fix documentation;Documentation
22.02.2015;2.2;2.2;MINOR;Incorrect attribute name in PropertiesRewritePolicy example. Fixes LOG4J2-950. Thanks to Joel Edwards.;Fix documentation;Documentation
22.02.2015;2.2;2.2;MINOR;Log4j Flume appender is not adding millisecond to the event headers when the event is logged at 000 milliseconds. Fixes LOG4J2-944. Thanks to Vinayaka Ramachandra.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;Allow JSON layout to create one compact log record per line. Fixes LOG4J2-941. Thanks to Konstantinos Liakos.;Add functionality;Add support for a new feature
22.02.2015;2.2;2.2;MINOR;HTML layout should not use attribute minimalization for hr noshade. Fixes LOG4J2-933. Thanks to ppiman at gmail.com.;Change HTML layout for hr noshade;Code redesign
22.02.2015;2.2;2.2;MINOR;Specify the SyslogAppender connect timeout value as part of the configuration. The SyslogAppender takes a new parameter connectTimeoutMillis. Fixes LOG4J2-895.;Add new parameter;Code redesign
22.02.2015;2.2;2.2;MINOR;Specify the SocketAppender connect timeout value as part of the configuration. The SyslogAppender takes a new parameter connectTimeoutMillis. Fixes LOG4J2-899.;Add new parameter;Code redesign
22.02.2015;2.2;2.2;MINOR;Log4j 1.2 Bridge doesn't map level ALL correctly in Category.getEffectiveLevel(). Fixes LOG4J2-924. Thanks to Ryan Rupp.;Fix wrong implementation;Bug fix
22.02.2015;2.2;2.2;MINOR;ConsoleAppender is missing @PluginFactory annotation at createAppender method. Fixes LOG4J2-931. Thanks to Robert Gacki.;Fix wrong implementation;Bug fix
