Year,Date,Agg version,Version,Release,Changes,"",Type,General,General Category
2023,24/05/2023,1.18.,1.18.28,PATCH,,,,,
2023,24/05/2023,1.18.,1.18.28,PATCH,PLATFORM: JDK20 support added. Issue #3353.,,Adapt to newer Java version,Add functionality,Add support for a new feature
2023,24/05/2023,1.18.,1.18.28,PATCH,BUGFIX: Eclipse 4.27 and VSCode 1.14.0 would ignore lombok.config. Issue #3332.,,,Fix wrong implementation,Bug fix
2023,24/05/2023,1.18.,1.18.28,PATCH,BUGFIX: @NonNull on a primitive array field on a record wouldn't work. Issue #3366.,,,Fix wrong implementation,Bug fix
2023,24/05/2023,1.18.,1.18.28,PATCH,FEATURE: Jakarta has some non-null annotations (such as jakarta.annotation.Nonnull) which we now support. Issue #3346.,,Add suuport for non-null annotations,Add functionality,Add support for a new feature
2023,24/05/2023,1.18.,1.18.28,PATCH,"BUGFIX: Eclipse didn't find usages of extension methods (@ExtensionMethod) in ""find references"" nor rename-refactoring. Issue #3373",,,Fix wrong implementation,Bug fix
2023,03/02/2023,1.18.,1.18.26,PATCH,,,,,
2023,03/02/2023,1.18.,1.18.26,PATCH,PLATFORM: JDK19 support added. Issue #3264.,,Adapt to newer Java version,Add functionality,Add support for a new feature
2023,03/02/2023,1.18.,1.18.26,PATCH,"BUGFIX: Using the refactor script: ""Rename field"" in a @(Super)Builder-marked file in eclipse or VSCode would cause issues. [Issue #3181] (https://github.com/projectlombok/lombok/issues/3181).",,,Fix wrong implementation,Bug fix
2023,03/02/2023,1.18.,1.18.26,PATCH,BUGFIX: Using val together with any call to a method that explicitly resolves to a default impl in an interface didn't work in javac. Issue #3242.,exception,AssertionError,Handle exception,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,,,,,
2022,18/04/2022,1.18.,1.18.24,PATCH,PLATFORM: JDK18 support added. Issue #3129.,,Adapt to newer Java version,Add functionality,Add support for a new feature
2022,18/04/2022,1.18.,1.18.24,PATCH,PLATFORM: Using ecj and maven? There's now a command line option to integrate lombok into your build chain. Issue #3143.,,,Lombok Maven+ECJ bootstrap agent,Support for external development tool
2022,18/04/2022,1.18.,1.18.24,PATCH,FEATURE: @ToString has an annotation parameter called onlyExplicitlyIncluded. There's now a config key lombok.toString.onlyExplicitlyIncluded to set this property as well. Issue #2849.,,Add support to set property,Add functionality,Add support for a new feature
2022,18/04/2022,1.18.,1.18.24,PATCH,"FEATURE: Turning a field named uShape into a getter is tricky: getUShape or getuShape? The community is split on which style to use. Lombok does getUShape, but if you prefer the getuShape style, add to lombok.config: lombok.accessors.capitalization = beanspec. Issue #2693 Pull Request #2996. Thanks @YonathanSherwin!",,,Add method,Add support for a new feature
2022,18/04/2022,1.18.,1.18.24,PATCH,"FEATURE: You can now use @Accessors(makeFinal = true) to make final getters, setters, and with-ers. Issue #1456.",,"Add support to make final getters, setters, and with-ers",Add functionality,Add support for a new feature
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: Various save actions and refactor scripts in eclipse work better. Issue #2995 Issue #1309 Issue #2985 Issue #2509.,,,Fix failing compilation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,1309,exception,,Handle exception,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,2985,exception:NPE,NullPointerException,Handle exception,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,2509,,Syntax highlighting for annotations are not working,Fix wrong implementation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: Eclipse projects using the jasperreports-plugin will now compile. Issue #1036.,,,Fix failing compilation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: inner classes in @UtilityClass classes were broken in JDK9+. Issue #3097.,,Adapt to newer Java version,Fix failing compilation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: Delomboking code with @Builder.Default in it would generate different code vs lombok itself. Issue #3053.,,,Fix wrong implementation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: Combining @NonNullByDefault and lombok.addNullAnnotations would generate two @Nullable annotations and thus generate a compiler error. Issue #3120. Thanks @JohnPaulTaylorII!,,,Fix failing compilation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: Null analysis in eclipse was broken for incremental builds. Issue #3133.,,,Fix failing build,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX VerifyError would show up in the latest eclipse release when using various refactor scripts. Issue #3134.,exception,VerifyError,Handle exception,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,BUGFIX: The various @Log annotations can now be placed on inner enums and records. Issue #2990.,,,Fix failing compilation,Bug fix
2022,18/04/2022,1.18.,1.18.24,PATCH,"SECURITY: A widely reported security issue with log4j2 (CVE-2021-44228) has absolutely no effect on either lombok itself nor does usage of lombok on its own, or even the usage of lombok's @Log4j2, cause any issues whatsoever: You have to ship your own log4j2 dependency in your app - update that to 2.17 or otherwise mitigate this issue (see the CVE page). To avoid unneccessary warnings from dependency checkers, our dep on log4j2, which is used solely for testing, isn't shipped by us, and cannot be exploited in any way, has been updated to 2.17.1. Issue #3063",,,Security fix for external library,Security improvement
2022,18/04/2022,1.18.,1.18.24,PATCH,"IMPROBABLE BREAKING CHANGE: Lombok now understands a few more annotations that imply ""this field should not ever contain a null reference"". Lombok will thus copy some of these new annotations e.g. to generated getters and the like. Pull Request #2904",,,Change implementation,Code redesign
2021,06/10/2021,1.18.,1.18.22,PATCH,,,,,
2021,06/10/2021,1.18.,1.18.22,PATCH,PLATFORM: JDK17 support added. Issue #2898.,,Adapt to newer Java version,Add functionality,Add support for a new feature
2021,06/10/2021,1.18.,1.18.22,PATCH,FEATURE: Added the @StandardException feature. Pull Request #2702.,,,Add functionality,Add support for a new feature
2021,06/10/2021,1.18.,1.18.22,PATCH,"IMPROBABLE BREAKING CHANGE: If the underlying compiler and --release / --source option is 10 or higher, lombok's val is now replaced by final var. That means compound declarations such as val x = 10, y = 12; now fail (lombok's old val implementation supported it, javac's var does not), but IDE support in particular is more reliable. We decided it was worth the tradeoff.",,,Change implementation,Code redesign
2021,06/10/2021,1.18.,1.18.22,PATCH,BUGFIX: Syntax highlighting in VSCode now works reliably when using lombok. Issue #2950.,,Syntax highlighting for annotations are not working,Fix wrong implementation,Bug fix
2021,06/10/2021,1.18.,1.18.22,PATCH,BUGFIX: Eclipse's organize imports feature would sometimes remove your lombok.val import. Issue #2972.,,,Fix wrong implementation,Bug fix
2021,02/04/2021,1.18.,1.18.20,PATCH,,,,,
2021,02/04/2021,1.18.,1.18.20,PATCH,PLATFORM: JDK16 support added. Issue #2681.,,Adapt to newer Java version,Add functionality,Add support for a new feature
2021,02/04/2021,1.18.,1.18.20,PATCH,"PLATFORM: All lombok features updated to act in a sane fashion with JDK16's record feature. In particular, you can annotate record components with @NonNull to have lombok add null checks to your compact constructor (which will be created if need be).",,,Align with with external Java evolution,Code redesign
2021,02/04/2021,1.18.,1.18.20,PATCH,BUGFIX: Trying to use a lambda expression as parameter to an @ExtensionMethod did not work. Issue #2741. (by @Rawi01).,,lambda expression,Fix wrong implementation,Bug fix
2021,02/04/2021,1.18.,1.18.20,PATCH,BUGFIX: @SuperBuilder with an existing constructor caused issues in eclipse. Issue #2704. (by @JanRieke).,exception:NPE,NullPointerException,Handle exception,Bug fix
2021,02/04/2021,1.18.,1.18.20,PATCH,BUGFIX: Using @SuperBuilder with a handwritten builder class caused issues. Issue #2701. (by @JanRieke).,exception:NPE,NullPointerException,Handle exception,Bug fix
2021,02/04/2021,1.18.,1.18.20,PATCH,BUGFIX: Lombok interacts properly with the new save actions in eclipse 2021-03.,,,Fix wrong implementation,Bug fix
2021,02/04/2021,1.18.,1.18.20,PATCH,POTENTIAL BUGFIX: lombok + errorprone could cause IllegalArgumentException if using the MissingSummary bug pattern. Issue #2730.,exception,IllegalArgumentException,Handle exception,Bug fix
2021,28/01/2021,1.18.,1.18.18,PATCH,,,,,
