Changes,General Category
,
"Regression in FileUtils.touch() - no longer creates parent directories. Fixes IO-791. Thanks to Chad Wilson, Gary Gregory.",Bug fix
ByteArrayOrigin should be able convert a byte[] to a ByteArrayInputStream. Thanks to Gary Gregory.,Bug fix
AbstractOriginSupplier.checkOrigin() now throws IllegalStateException instead of NullPointerException. Thanks to Gary Gregory.,Bug fix
"FileAlreadyExistsException in PathUtils.createParentDirectories(Path, LinkOption, FileAttribute...). Fixes IO-796. Thanks to Giacomo Boccardo, Gary Gregory.",Bug fix
"Only read the relevant portion of a file in AbstractOrigin.FileOrigin.getByteArray(long, int) Thanks to Gary Gregory.",Bug fix
"Only read the relevant portion of a file in AbstractOrigin.PathOrigin.getByteArray(long, int) Thanks to Gary Gregory.",Bug fix
"DeferredFileOutputStream throws exception when system temp dir is a symlink. Fixes IO-798. Thanks to Shai Shapira, Gary Gregory.",Bug fix
"ReaderInputStream.Builder.setCharsetEncoder(null) should reset to a default object, not throw an NPE. Thanks to Gary Gregory.",Bug fix
"ReaderInputStream.Builder.setCharset(null) should reset to a default object, not throw an NPE. Thanks to Gary Gregory.",Bug fix
Add CharSequenceInputStream.Builder. Thanks to Gary Gregory.,Add support for a new feature
Add ChunkedOutputStream.Builder. Thanks to Gary Gregory.,Add support for a new feature
Add AbstractStreamBuilder.setOpenOptions(OpenOption...). Thanks to Gary Gregory.,Add support for a new feature
Add some missing conversions to AbstractOrigin subclasses. Thanks to Gary Gregory.,Add support for a new feature
"Add AbstractOrigin.getByteArray(long, int). Thanks to Gary Gregory.",Add support for a new feature
Add and use RandomAccessFiles. Thanks to Gary Gregory.,Add support for a new feature
Add AbstractOrigin.size(). Thanks to Gary Gregory.,Add support for a new feature
Add PathUtils.EMPTY_FILE_ATTRIBUTE_ARRAY. Thanks to Gary Gregory.,Add support for a new feature
Add CharSequenceInputStream.Builder.setCharsetEncoder(CharsetEncoder). Thanks to Gary Gregory.,Add support for a new feature
"Add CharsetEncoders.toCharsetEncoder(CharsetEncoder, Supplier<CharsetEncoder>). Thanks to Gary Gregory.",Add support for a new feature
"Bump commons-parent from 57 to 58. Thanks to Gary Gregory, Dependabot.",Update dependency
,
IOUtils.toByteArray size validation does not match documentation. Fixes IO-697. Thanks to otter606.,Bug fix
Fix Javadoc links to the JRE Javadoc 8. Thanks to Gary Gregory.,Documentation
"FileWriterWithEncoding for an existing file no longer truncates the file. #251. Fixes IO-744. Thanks to RBRi, Gary Gregory.",Bug fix
A null Charset or Charset name in FileWriterWithEncoding constructors uses the default Charset. Thanks to Gary Gregory.,Bug fix
Fix usage of assertNotNull #269. Thanks to Davide Angelocola.,Bug fix
"FilenameUtils directoryContains() should handle files with the same prefix #217. Fixes IO-727. Thanks to trungPa, Gary Gregory.",Bug fix
Drop unnecessary casts and conversions #267. Fixes IO-746. Thanks to Davide Angelocola.,Performance improvement
"FileUtils.moveToDirectory() exception documentation and exception message error. Fixes IO-748. Thanks to Dirk Heinrichs, Gary Gregory, Elango Ravi.",Documentation
-,Maintainability improvement
ThreadMonitor.sleep(Duration) ignores nanoseconds. Thanks to Gary Gregory.,Bug fix
